nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W000000955814A,41120110,Manosque,CA Durance-Lubéron-Verdon Agglomération,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,30/10/2019,30/10/2019,09/11/2021,SSTUL,HTA,Direct,,,,,100.0,,,En service,Enedis
1485 AOS JUIL,17W0000004923199,50610117,Gap,CA Gap-Tallard-Durance,Hautes-Alpes,Provence-Alpes-Côte d'Azur,29/08/2018,29/08/2018,29/08/2018,GRISO,BT,Direct,,,,,130.0,,,En service,Enedis
ALCATEL SPACE INDUSTRIES,17W000000162646X,60290124,Cannes,CA Cannes Pays de Lérins,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,20/01/1998,20/01/1998,30/11/2021,BOCCA,HTA,Direct,,,,,1561.0,1561.0,,En service,Enedis
Confidentiel,17W000000090646W,,Cannes,CA Cannes Pays de Lérins,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,26/01/2016,26/01/2016,05/10/2021,MOUGI,HTA,Direct,,,,,1487.0,,,En service,Enedis
C1770 CADAM,17W000000970213C,60883102,Nice,Métropole Nice Côte d'Azur,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,02/06/2020,02/06/2020,02/06/2020,D.FRA,HTA,Direct,,,,,230.0,,,En service,Enedis
Confidentiel,17W000000971074W,110690702,Carcassonne,CA Carcassonne Agglo,Aude,Occitanie,16/06/2020,16/06/2020,23/07/2020,MOREA,HTA,Direct,,,,,3750.0,,,En service,Enedis
1516 AOS JUIL16,17W000000504262C,130970102,Saint-Martin-de-Crau,CA d'Arles-Crau-Camargue-Montagnette,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,17/01/2019,17/01/2019,04/10/2022,M.GOU,HTA,Direct,,,,,230.0,,,En service,Enedis
1517 AOS JUIL16,17W000000928988H,130970102,Saint-Martin-de-Crau,CA d'Arles-Crau-Camargue-Montagnette,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,10/07/2019,10/07/2019,04/10/2022,M.GOU,HTA,Direct,,,,,180.0,,,En service,Enedis
AHLSTROM SPECIALTIES,17W000000379514W,163500000,Saint-Séverin,CC Lavalette Tude Dronne,Charente,Nouvelle-Aquitaine,09/02/2017,09/02/2017,01/05/2021,BERTR,HTA,Direct,,,,,8800.0,,,En service,Enedis
ENZO,17W000000494178S,341450103,Lunel,CC du Pays de Lunel,Hérault,Occitanie,12/10/2018,12/10/2018,28/09/2022,L.VIE,HTA,Direct,,,,,130.0,,,En service,Enedis
Confidentiel,17W0000009304659,343360000,Villeneuve-lès-Béziers,CA de Béziers-Méditerranée,Hérault,Occitanie,11/07/2019,11/07/2019,12/01/2022,BEZ.E,HTA,Direct,,,,,462.0,,,En service,Enedis
