nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W0000000325052,2B1350000,Isolaccio-di-Fiumorbo,CC de Fium'Orbu Castellu,Haute-Corse,Corse,26/04/2017,26/04/2017,29/07/2022,,HTA,Direct,,,,,607.0,,,En service,EDF-SEI
Confidentiel,17W0000000327946,2B3200000,Tallone,CC de l'Oriente,Haute-Corse,Corse,15/04/2009,15/04/2009,14/04/2022,,HTA,Direct,,,,,1688.0,,,En service,EDF-SEI
Confidentiel,17W0000000965911,10330301,Valserhône,CC du Pays Bellegardien (CCPB),Ain,Auvergne-Rhône-Alpes,01/02/2014,01/02/2014,17/06/2022,ARLOD,HTA,Direct,DECHETS MENAGERS,,AUTRE,,11746.0,8500.0,,En service,Enedis
Confidentiel,17W000000414819R,10400000,Béréziat,CA du Bassin de Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,19/11/2015,19/11/2015,23/09/2021,MTREV,BT,Direct,,,AUTRE,,200.0,200.0,,En service,Enedis
GAEC DE STIVAN,17W000001010871S,10460000,Biziat,CC de la Veyle,Ain,Auvergne-Rhône-Alpes,01/10/2020,01/10/2020,23/12/2020,CRUET,HTA,Direct,,,COGENERATION A COMBUSTION,,499.0,499.0,,En service,Enedis
Confidentiel,17W000000504378U,10790000,Champagne-en-Valromey,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,08/01/2019,08/01/2019,07/07/2021,BRACH,BT,Direct,,,COGENERATION A COMBUSTION,,211.0,211.0,,En service,Enedis
VALROMETHA,17W000000493708U,10790000,Champagne-en-Valromey,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,24/10/2018,24/10/2018,07/07/2021,BRACH,BT,Direct,,,MOTEUR A PISTON,,231.0,231.0,,En service,Enedis
GAEC P2MN,17W000000419518G,11280000,Courtes,CA du Bassin de Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,15/07/2014,15/07/2014,06/07/2021,ROMEN,BT,Direct,,,COGENERATION A COMBUSTION,,204.0,204.0,,En service,Enedis
Confidentiel,17W000000961295M,11300000,Bresse Vallons,CA du Bassin de Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,05/02/2020,05/02/2020,07/07/2021,MTREV,BT,Direct,,,COGENERATION A COMBUSTION,,210.0,210.0,,En service,Enedis
Confidentiel,17W000000397670G,11470000,Domsure,CA du Bassin de Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,11/04/2013,11/04/2013,05/07/2021,G.CHE,BT,Direct,,,,,50.0,90.0,,En service,Enedis
