nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W0000000349516,2B1070000,Ersa,CC du Cap Corse,Haute-Corse,Corse,01/11/2000,01/11/2000,14/04/2022,,HTA,Direct,,,,,7800.0,,,En service,EDF-SEI
Confidentiel,17W0000000374537,2B1500000,Lumio,CC de Calvi Balagne,Haute-Corse,Corse,12/12/2003,12/12/2003,29/07/2022,,HTA,Direct,,,,,6000.0,,,En service,EDF-SEI
Confidentiel,17W0000000331435,2B2610000,Rogliano,CC du Cap Corse,Haute-Corse,Corse,01/01/2005,01/01/2005,14/04/2022,,HTA,Direct,,,,,4200.0,,,En service,EDF-SEI
Confidentiel,17W000000961191Y,10110000,Apremont,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,14/01/2020,14/01/2020,22/09/2021,CLUS5,HTA,Direct,,,TERRESTRE,,11750.0,11750.0,1.0,En service,Enedis
Confidentiel,17W000000429928S,11910000,Izenave,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,18/10/2017,18/10/2017,29/12/2022,CLUS5,HTA,Direct,,,TERRESTRE,,10000.0,10000.0,1.0,En service,Enedis
Confidentiel,17W000000090872N,14410000,Vieu-d'Izenave,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,20/09/2017,20/09/2017,29/12/2022,CLUS5,HTA,Direct,,,TERRESTRE,,8000.0,8000.0,1.0,En service,Enedis
Confidentiel,17W0000004959189,,Agnicourt-et-Séchelles,CC du Pays de la Serre,Aisne,Hauts-de-France,13/11/2018,13/11/2018,27/06/2019,THIE9,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000000490765X,,Agnicourt-et-Séchelles,CC du Pays de la Serre,Aisne,Hauts-de-France,12/10/2018,12/10/2018,27/06/2019,CONCO,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000000476752O,20040000,Agnicourt-et-Séchelles,CC du Pays de la Serre,Aisne,Hauts-de-France,19/07/2018,19/07/2018,20/11/2019,LISLE,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W0000001570372,,Artemps,CA du Saint-Quentinois,Aisne,Hauts-de-France,26/01/2004,26/01/2004,18/01/2022,,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
HAYETE01 - ADP 01 DE LA FERME EOLIENNE DE HAYETTE (LA),17W000000492295Y,20280000,Athies-sous-Laon,CA du Pays de Laon,Aisne,Hauts-de-France,31/05/2017,15/06/2017,13/11/2017,HAYET,63 kV,DIRECT,,,TERRESTRE,,68000.0,68000.0,23.0,En service,RTE
Confidentiel,17W000000058582G,20390000,Autremencourt,CC du Pays de la Serre,Aisne,Hauts-de-France,01/01/2009,01/01/2009,21/06/2022,MARLE,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000000150274N,20390000,Autremencourt,CC du Pays de la Serre,Aisne,Hauts-de-France,01/02/2009,01/02/2009,22/06/2021,MARLE,HTA,Direct,,,TERRESTRE,,2500.0,2500.0,1.0,En service,Enedis
Confidentiel,17W0000000434963,20390000,Autremencourt,CC du Pays de la Serre,Aisne,Hauts-de-France,04/12/2008,04/12/2008,22/06/2021,MARLE,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W0000005006919,20390000,Autremencourt,CC du Pays de la Serre,Aisne,Hauts-de-France,06/12/2018,06/12/2018,14/03/2022,MARLE,HTA,Direct,,,TERRESTRE,,7200.0,7200.0,1.0,En service,Enedis
Confidentiel,17W000000500672D,20390000,Autremencourt,CC du Pays de la Serre,Aisne,Hauts-de-France,06/12/2018,06/12/2018,17/03/2022,THIE9,HTA,Direct,,,TERRESTRE,,7200.0,7200.0,1.0,En service,Enedis
