,nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,filiere,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxraccharge,puismaxcharge,puismaxrac,puismaxinstalleedischarge,nbgroupes,regime,energiestockable,capacitereservoir,productible,debitmaximal,gestionnaire,hauteurchute
70,Confidentiel,17W000001334169R,2A0400000,Bocognano,CC Celavu-Prunelli,Corse-du-Sud,Corse,30/10/1997,30/10/1997,14/04/2022,,HTA,Direct,Hydraulique,,,,,2100.0,,,,,,En service,,,,,EDF-SEI,
87,Confidentiel,17W000000034544J,2A0660000,Cargiaca,CC de l'Alta Rocca,Corse-du-Sud,Corse,01/04/2003,01/04/2003,14/04/2022,,HTA,Direct,Hydraulique,,,,,3569.0,,,,,,En service,,,,,EDF-SEI,
93,Confidentiel,17W000000434008F,2A0990000,Cozzano,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,06/10/2017,06/10/2017,14/04/2022,,BT,Direct,Hydraulique,,,,,53.0,,,,,,En service,,,,,EDF-SEI,
94,Confidentiel,17W000001374036M,2A0990000,Cozzano,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,03/02/2022,03/02/2022,03/02/2022,,HTA,Direct,Hydraulique,,,,,494.0,,,,,,En service,,,,,EDF-SEI,
109,Confidentiel,17W0000000371945,2A1280000,Granace,CC du Sartenais Valinco Taravo,Corse-du-Sud,Corse,23/02/2002,23/02/2002,29/07/2022,,HTA,Direct,Hydraulique,,,,,730.0,,,,,,En service,,,,,EDF-SEI,
120,Confidentiel,17W000000039103O,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,01/01/1961,01/01/1961,29/07/2022,,90 kV,Direct,Hydraulique,,,,,15600.0,,,,,,En service,,,,,EDF-SEI,
121,Confidentiel,17W000000034089H,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,01/01/1995,01/01/1995,14/04/2022,,HTA,Direct,Hydraulique,,,,,8600.0,,,,,,En service,,,,,EDF-SEI,
122,Confidentiel,17W000000033459F,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,12/09/2016,12/09/2016,29/07/2022,,HTA,Direct,Hydraulique,,,,,144.0,,,,,,En service,,,,,EDF-SEI,
124,Confidentiel,17W0000000393264,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,01/01/1965,01/01/1965,14/04/2022,,90 kV,Direct,Hydraulique,,,,,15100.0,,,,,,En service,,,,,EDF-SEI,
125,Confidentiel,17W000000035911D,2A1860000,Olivese,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,09/12/2005,09/12/2005,14/04/2022,,HTA,Direct,Hydraulique,,,,,1400.0,,,,,,En service,,,,,EDF-SEI,
126,Confidentiel,17W0000000384257,2A1860000,Olivese,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,01/04/2010,01/04/2010,29/07/2022,,HTA,Direct,Hydraulique,,,,,400.0,,,,,,En service,,,,,EDF-SEI,
128,Confidentiel,17W000000032772G,2A1910000,Olmiccia,CC de l'Alta Rocca,Corse-du-Sud,Corse,30/09/2013,30/09/2013,29/07/2022,,90 kV,Direct,Hydraulique,,,,,55000.0,,,,,,En service,,,,,EDF-SEI,
129,Confidentiel,17W0000000334977,2A1960000,Orto,CC Spelunca-Liamone,Corse-du-Sud,Corse,01/02/1987,01/02/1987,29/07/2022,,HTA,Direct,Hydraulique,,,,,800.0,,,,,,En service,,,,,EDF-SEI,
130,Confidentiel,17W0000000379032,2A1960000,Orto,CC Spelunca-Liamone,Corse-du-Sud,Corse,01/12/2013,01/12/2013,29/07/2022,,HTA,Direct,Hydraulique,,,,,1000.0,,,,,,En service,,,,,EDF-SEI,
156,Confidentiel,17W000000039320G,2A2540000,Quenza,CC de l'Alta Rocca,Corse-du-Sud,Corse,01/01/1994,01/01/1994,14/04/2022,,HTA,Direct,Hydraulique,,,,,740.0,,,,,,En service,,,,,EDF-SEI,
161,Confidentiel,17W000000037599G,2A2850000,Sorbollano,CC de l'Alta Rocca,Corse-du-Sud,Corse,18/04/2014,18/04/2014,28/04/2022,,BT,Direct,Hydraulique,,,,,120.0,,,,,,En service,,,,,EDF-SEI,
164,Confidentiel,17W0000000333989,2A3590000,Zicavo,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,01/04/2011,01/04/2011,14/04/2022,,HTA,Direct,Hydraulique,,,,,3400.0,,,,,,En service,,,,,EDF-SEI,
173,Confidentiel,17W000000039199M,2B0230000,Asco,CC Pasquale Paoli,Haute-Corse,Corse,01/02/1990,01/02/1990,14/04/2022,,HTA,Direct,Hydraulique,,,,,5410.0,,,,,,En service,,,,,EDF-SEI,
215,Confidentiel,17W000000031910Z,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,30/03/2015,30/03/2015,29/07/2022,,HTA,Direct,Hydraulique,,,,,2450.0,,,,,,En service,,,,,EDF-SEI,
251,Confidentiel,17W000000032186T,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,01/01/1984,01/01/1984,29/07/2022,,HTA,Direct,Hydraulique,,,,,1250.0,,,,,,En service,,,,,EDF-SEI,
268,Confidentiel,17W000001331549W,2B0590000,Canavaggia,CC Pasquale Paoli,Haute-Corse,Corse,16/12/2019,16/12/2019,29/07/2022,,HTA,Direct,Hydraulique,,,,,499.0,,,,,,En service,,,,,EDF-SEI,
284,Confidentiel,17W0000000322177,2B0830000,Castirla,CC Pasquale Paoli,Haute-Corse,Corse,01/01/1968,01/01/1968,28/04/2022,,90 kV,Direct,Hydraulique,,,,,28500.0,,,,,,En service,,,,,EDF-SEI,
381,Confidentiel,17W000000032312D,2B1470000,Lozzi,CC Pasquale Paoli,Haute-Corse,Corse,01/01/1985,01/01/1985,29/07/2022,,90 kV,Direct,Hydraulique,,,,,15300.0,,,,,,En service,,,,,EDF-SEI,
