nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
BUGEYN04 - GROUPE 04 DE LA CENTRALE NUCLEAIRE DE BUGEY (LE),17W100P100P00982,13900000,Saint-Vulbas,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,01/03/1979,01/07/1979,01/01/2007,BUGEY,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,880000.0,880000.0,1.0,En service,RTE
BUGEYN02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE BUGEY (LE),17W100P100P00966,13900000,Saint-Vulbas,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,01/05/1978,01/03/1979,01/01/2007,BUGEY,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
BUGEYN03 - GROUPE 03 DE LA CENTRALE NUCLEAIRE DE BUGEY (LE),17W100P100P00974,13900000,Saint-Vulbas,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,01/09/1978,01/03/1979,01/01/2007,BUGEY,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
BUGEYN05 - GROUPE 05 DE LA CENTRALE NUCLEAIRE DE BUGEY (LE),17W100P100P01004,13900000,Saint-Vulbas,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,01/07/1979,01/01/1980,01/01/2007,BUGEY,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,880000.0,880000.0,1.0,En service,RTE
CRUA5N01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE CRUAS,17W100P100P0115S,70760000,Cruas,CC Ardèche Rhône Coiron,Ardèche,Auvergne-Rhône-Alpes,01/04/1983,02/04/1984,25/09/2013,CRUA5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
CRUA5N04 - GROUPE 04 DE LA CENTRALE NUCLEAIRE DE CRUAS,17W100P100P0119K,70760000,Cruas,CC Ardèche Rhône Coiron,Ardèche,Auvergne-Rhône-Alpes,01/10/1984,11/02/1985,25/09/2013,CRUA5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
CRUA5N02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE CRUAS,17W100P100P0116Q,70760000,Cruas,CC Ardèche Rhône Coiron,Ardèche,Auvergne-Rhône-Alpes,01/09/1984,01/04/1985,25/09/2013,CRUA5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
CRUA5N03 - GROUPE 03 DE LA CENTRALE NUCLEAIRE DE CRUAS,17W100P100P0118M,70760000,Cruas,CC Ardèche Rhône Coiron,Ardèche,Auvergne-Rhône-Alpes,01/05/1984,10/09/1984,25/09/2013,CRUA5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,915000.0,915000.0,1.0,En service,RTE
CHOO2N02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE CHOOZ B,17W100P100P0112Y,81220000,Chooz,"CC Ardenne, Rives de Meuse",Ardennes,Grand Est,01/04/1997,29/09/2000,01/01/2007,CHOO2,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1500000.0,1500000.0,1.0,En service,RTE
CHOO2N01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE CHOOZ B,17W100P100P01101,81220000,Chooz,"CC Ardenne, Rives de Meuse",Ardennes,Grand Est,01/08/1996,15/05/2000,01/01/2007,CHOO2,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1500000.0,1500000.0,1.0,En service,RTE
