nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxraccharge,puismaxcharge,puismaxrac,puismaxinstalleedischarge,nbgroupes,regime,energiestockable,gestionnaire
Confidentiel,17W0000013523404,2B1690000,Morosaglia,CC Pasquale Paoli,Haute-Corse,Corse,19/01/2021,19/01/2021,28/09/2022,,HTA,Direct,,,,,5600.0,,,,,,En service,,EDF-SEI
CENTRALE DE BELLIGNAT,17W000001360124E,10310000,Bellignat,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,01/09/2021,01/09/2021,26/10/2021,BELLI,HTA,Indirect,,,BATTERIE,BATTE,2400.0,2400.0,2400.0,2400.0,2400.0,1.0,En service,2400.0,Enedis
CENTRALE DE BELLIGNAT,17W000001360014L,10310000,Bellignat,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,01/09/2021,01/09/2021,26/10/2021,BELLI,HTA,Indirect,,,BATTERIE,BATTE,2400.0,2400.0,2400.0,2400.0,2400.0,1.0,En service,2400.0,Enedis
Confidentiel,17W000001383974E,10780000,Challex,CA du Pays de Gex,Ain,Auvergne-Rhône-Alpes,23/05/2022,23/05/2022,30/08/2022,POUGN,HTA,Direct,,,BATTERIE,BATTE,1572.0,1250.0,1250.0,1250.0,1250.0,1.0,En service,784.0,Enedis
Confidentiel,17W000001436087C,10980000,Chazey-Bons,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,20/10/2022,20/10/2022,02/12/2022,BELLE,HTA,Direct,,,BATTERIE,BATTE,1572.0,1250.0,1250.0,1250.0,1250.0,1.0,En service,784.0,Enedis
Confidentiel,17W000001457410E,12660000,Montrevel-en-Bresse,CA du Bassin de Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,20/12/2022,20/12/2022,20/12/2022,MTREV,HTA,Direct,,,BATTERIE,BATTE,1572.0,1250.0,1250.0,1250.0,1250.0,1.0,En service,784.0,Enedis
Confidentiel,17W000001434869T,13630000,Saint-Jean-le-Vieux,CC Rives de l'Ain - Pays du Cerdon,Ain,Auvergne-Rhône-Alpes,26/09/2022,26/09/2022,26/09/2022,HAUT6,HTA,Direct,,,BATTERIE,BATTE,1250.0,1250.0,1250.0,1250.0,1250.0,1.0,En service,784.0,Enedis
Confidentiel,17W000001434920I,22110000,Condé-sur-Suippe,CC de la Champagne Picarde,Aisne,Hauts-de-France,23/09/2022,23/09/2022,30/11/2022,GUIGN,HTA,Direct,,,BATTERIE,BATTE,1250.0,1250.0,1250.0,1250.0,1250.0,1.0,En service,784.0,Enedis
Confidentiel,17W000001351909G,22110000,Condé-sur-Suippe,CC de la Champagne Picarde,Aisne,Hauts-de-France,15/10/2021,15/10/2021,18/10/2022,GUIGN,HTA,Direct,,,BATTERIE,BATTE,1250.0,1250.0,1250.0,1250.0,1250.0,1.0,En service,784.0,Enedis
Confidentiel,17W000001521575N,,Couleuvre,CC du Pays de Tronçais,Allier,Auvergne-Rhône-Alpes,11/04/2023,11/04/2023,11/04/2022,COULE,HTA,Direct,,,BATTERIE,BATTE,1250.0,1250.0,1250.0,1250.0,1250.0,1.0,En service,784.0,Enedis
