nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxraccharge,puismaxcharge,puismaxrac,puismaxinstalleedischarge,nbgroupes,regime,energiestockable,gestionnaire
Confidentiel,17W000000033248S,2A0040101,Ajaccio,CA du Pays Ajaccien,Corse-du-Sud,Corse,01/01/1981,01/01/1981,14/04/2022,,90 kV,Direct,,,,,132300.0,,,,,,En service,,EDF-SEI
Confidentiel,17W000000032203I,2A0040101,Ajaccio,CA du Pays Ajaccien,Corse-du-Sud,Corse,01/01/2007,01/01/2007,14/04/2022,,90 kV,Direct,,,,,20000.0,,,,,,En service,,EDF-SEI
Confidentiel,17W000000032045A,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,01/01/1992,01/01/1992,29/07/2022,,90 kV,Direct,,,,,20000.0,,,,,,En service,,EDF-SEI
Confidentiel,17W000000036245J,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,01/01/2008,01/01/2008,29/07/2022,,90 kV,Direct,,,,,40000.0,,,,,,En service,,EDF-SEI
Confidentiel,17W000000036885K,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,16/01/2014,16/01/2014,29/07/2022,,90 kV,Direct,,,,,112000.0,,,,,,En service,,EDF-SEI
Confidentiel,17W000000034358G,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,01/01/1992,01/01/1992,29/07/2022,,90 kV,Direct,,,,,20000.0,,,,,,En service,,EDF-SEI
Confidentiel,17W000000036123X,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,01/01/1993,01/01/1993,29/07/2022,,90 kV,Direct,,,,,25000.0,,,,,,En service,,EDF-SEI
BALA5T01 - GROUPE 01 DE LA CENTRALE THERMIQUE DE BALAN,17W100P100P11569,10270000,Balan,CC de la Côtière à Montluel,Ain,Auvergne-Rhône-Alpes,01/12/2000,,17/01/2012,BALAN,63 kV,DIRECT,GAZ,,COGENERATION A VAPEUR,,11200.0,,,11200.0,,1.0,En service,,RTE
CENTRALE DE BELLIGNAT,17W000000386635T,10310000,Bellignat,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,28/03/2011,28/03/2011,26/10/2021,BELLI,HTA,Direct,GAZ,,MOTEUR A PISTON,,4249.0,,,4249.0,,,En service,0.0,Enedis
Confidentiel,17W000001436205W,,Montluel,CC de la Côtière à Montluel,Ain,Auvergne-Rhône-Alpes,01/10/2022,01/10/2022,23/11/2022,P.SE5,HTA,Indirect,GAZ,,COGENERATION A VAPEUR,,800.0,,,800.0,,,En service,0.0,Enedis
CHAUFFERIE URBAINE ZUP EUROPE,17W000000419188B,25710000,Omissy,CA du Saint-Quentinois,Aisne,Hauts-de-France,01/11/2001,01/11/2001,07/10/2022,SSJEA,HTA,Direct,GAZ,,AUTRE,,4240.0,,,4240.0,,,En service,0.0,Enedis
Confidentiel,17W0000000603125,26910203,Saint-Quentin,CA du Saint-Quentinois,Aisne,Hauts-de-France,01/11/2012,01/11/2012,01/07/2019,SSJEA,HTA,Direct,GAZ,,,,757.0,,,757.0,,,En service,0.0,Enedis
Confidentiel,17W000000047116J,27220201,Soissons,CA GrandSoissons Agglomération,Aisne,Hauts-de-France,01/11/2009,01/11/2009,17/05/2022,S.DAM,HTA,Indirect,GAZ,,,,4983.0,,,4983.0,,,En service,0.0,Enedis
Confidentiel,17W000000046125N,28180000,Villiers-Saint-Denis,CC du Canton de Charly-sur-Marne,Aisne,Hauts-de-France,01/11/2011,01/11/2011,15/12/2022,CHAR6,HTA,Direct,GAZ,,COGENERATION A VAPEUR,,1416.0,,,1416.0,,,En service,0.0,Enedis
